subjet,eda,bvp,temp,emotion
1,0.28,-6.13,26.99,0
1,0.27,-1.67,27.01,0
1,0.27,-0.97,27.01,0
1,0.28,1.93,27.01,0
1,0.27,-2.03,27.01,0
1,0.27,-4.64,27.03,0
1,0.27,-7.09,27.03,0
1,0.27,9.27,27.03,0
1,0.27,-10.67,27.03,0
1,0.27,2.79,26.99,0
1,0.27,6.74,26.99,0
1,0.27,-1.69,26.99,0
1,0.27,0.24,26.99,0
1,0.28,-1.57,27.01,0
1,0.27,6.95,27.01,0
1,0.28,3.25,27.01,0
1,0.27,4.39,27.01,0
1,0.28,-2.94,27.03,0
1,0.27,-4.25,27.03,0
1,0.27,-4.66,27.03,0
1,0.27,-4.45,27.03,0
1,0.27,8.48,27.03,0
1,0.28,12.37,27.03,0
1,0.27,5.39,27.03,0
1,0.28,1.28,27.03,0
1,0.27,-5.59,27.03,0
1,0.27,-9.49,27.03,0
1,0.27,-6.72,27.03,0
1,0.27,-3.88,27.03,0
1,0.27,3.64,27.03,0
1,0.27,4.43,27.03,0
1,0.27,-0.34,27.03,0
1,0.28,2.47,27.03,0
1,0.27,-1.96,27.05,0
1,0.27,-3.26,27.05,0
1,0.27,3.21,27.05,0
1,0.27,-6.11,27.05,0
1,0.27,-6.22,27.03,0
1,0.27,-19.67,27.03,0
1,0.27,26.02,27.03,0
1,0.27,-28.75,27.03,0
1,0.27,-31.7,27.03,0
1,0.27,-13.48,27.03,0
1,0.27,-11.53,27.03,0
1,0.27,2.99,27.03,0
1,0.27,16.71,27.05,0
1,0.27,-0.03,27.05,0
1,0.27,-2.41,27.05,0
1,0.27,8.16,27.05,0
1,0.27,7.42,27.01,0
1,0.27,0.46,27.01,0
1,0.0,-0.03,30.65,0
1,0.02,5.06,30.65,0
1,0.05,17.91,30.65,0
1,0.04,79.34,30.65,0
1,0.04,228.25,30.65,0
1,0.05,-486.5,30.65,0
1,0.05,-5.9,30.65,0
1,0.05,156.15,30.65,0
1,0.04,46.78,30.63,0
1,0.04,4.05,30.63,0
1,0.05,0.16,30.63,0
1,0.05,0.85,30.63,0
1,0.05,3.75,30.61,0
1,0.05,14.72,30.61,0
1,0.05,13.63,30.61,0
1,0.05,-13.9,30.61,0
1,0.05,16.74,30.59,0
1,0.05,68.02,30.59,0
1,0.05,53.78,30.59,0
1,0.05,-271.96,30.59,0
1,0.05,-20.27,30.57,0
1,0.05,29.45,30.57,0
1,0.05,33.27,30.57,0
1,0.05,24.06,30.57,0
1,0.04,-3.93,30.57,0
1,0.05,11.8,30.57,0
1,0.05,10.99,30.57,0
1,0.05,-23.35,30.57,0
1,0.05,11.13,30.53,0
1,0.05,20.12,30.53,0
1,0.05,19.03,30.53,0
1,0.05,-27.8,30.53,0
1,0.05,-35.67,30.51,0
1,0.05,-54.91,30.51,0
1,0.05,-11.77,30.51,0
1,0.05,-6.1,30.51,0
1,0.05,75.83,30.49,0
1,0.05,19.81,30.49,0
1,0.04,-10.68,30.49,0
1,0.04,-32.5,30.49,0
1,0.04,12.83,30.47,0
1,0.04,7.02,30.47,0
1,0.05,-24.41,30.47,0
1,0.05,14.03,30.47,0
1,0.05,-0.22,30.47,0
1,0.04,-6.34,30.47,0
1,0.04,10.81,30.47,0
1,0.05,-1.19,30.47,0
1,0.04,-34.24,30.43,0
1,0.05,15.32,30.43,0
1,0.04,-6.69,30.43,0
1,0.05,-6.35,30.43,0
1,0.04,16.36,30.41,0
1,0.04,-0.63,30.41,0
1,0.05,8.76,30.41,0
1,0.04,19.55,30.41,0
1,0.04,-8.56,30.41,0
1,0.04,-28.93,30.41,0
1,0.05,-35.5,30.41,0
1,0.05,31.11,30.41,0
1,0.04,3.65,30.37,0
1,0.04,7.65,30.37,0
1,0.04,-12.42,30.37,0
1,0.04,24.08,30.37,0
1,0.04,10.79,30.33,0
1,0.04,-21.66,30.33,0
1,0.05,39.22,30.33,0
1,0.04,18.06,30.33,0
1,0.05,-2.45,30.35,0
1,0.04,8.81,30.35,0
1,0.05,-27.45,30.35,0
1,0.04,-88.57,30.35,0
1,0.05,129.69,30.33,0
1,0.04,71.9,30.33,0
1,0.04,-17.78,30.33,0
1,0.05,15.56,30.33,0
1,0.04,11.98,30.33,0
1,0.05,-30.2,30.33,0
1,0.04,-3.09,30.33,0
1,0.05,-47.95,30.33,0
1,0.04,-11.93,30.29,0
1,0.05,6.43,30.29,0
1,0.05,24.75,30.29,0
1,0.04,-6.94,30.29,0
1,0.05,40.51,30.27,0
1,0.05,0.81,30.27,0
1,0.05,12.81,30.27,0
1,0.05,18.53,30.27,0
1,0.05,-32.27,30.23,0
1,0.05,122.83,30.23,0
1,0.05,-26.59,30.23,0
1,0.05,-5.26,30.23,0
1,0.05,158.36,30.23,0
1,0.05,-160.16,30.23,0
1,0.05,6.42,30.23,0
1,0.05,7.07,30.23,0
1,0.05,-44.35,30.23,0
1,0.05,-41.76,30.23,0
1,0.05,-64.02,30.23,0
1,0.05,113.12,30.23,0
1,0.05,-82.06,30.21,0
1,0.05,59.42,30.21,0
1,0.05,-158.5,30.21,0
1,0.05,30.16,30.21,0
1,0.05,286.99,30.21,0
1,0.05,107.75,30.21,0
1,0.05,2.3,30.21,0
1,0.05,-414.58,30.21,0
1,0.05,-227.58,30.19,0
1,0.05,33.68,30.19,0
1,0.05,65.26,30.19,0
1,0.05,83.47,30.19,0
1,0.05,31.73,30.17,0
1,0.05,-31.98,30.17,0
1,0.05,27.13,30.17,0
1,0.05,28.14,30.17,0
1,0.05,19.9,30.15,0
1,0.05,102.95,30.15,0
1,0.0,-0.03,33.49,0
1,0.16,5.06,33.49,0
1,0.23,17.91,33.49,0
1,0.22,79.34,33.49,0
1,0.22,228.25,33.49,0
1,0.23,-486.48,33.49,0
1,0.23,-5.1,33.49,0
1,0.23,159.69,33.49,0
1,0.23,62.15,33.59,0
1,0.23,38.37,33.59,0
1,0.23,-26.09,33.59,0
1,0.23,9.92,33.59,0
1,0.23,71.13,33.55,0
1,0.23,153.24,33.55,0
1,0.23,65.77,33.55,0
1,0.23,8.93,33.55,0
1,0.23,-9.88,33.5,0
1,0.23,-19.43,33.5,0
1,0.23,-94.83,33.5,0
1,0.23,-328.33,33.5,0
1,0.23,-105.01,33.49,0
1,0.23,18.73,33.49,0
1,0.23,32.98,33.49,0
1,0.23,23.65,33.49,0
1,0.23,18.05,33.49,0
1,0.23,10.09,33.49,0
1,0.23,11.29,33.49,0
1,0.23,7.27,33.49,0
1,0.23,8.44,33.49,0
1,0.23,7.77,33.49,0
1,0.23,5.03,33.49,0
1,0.23,3.62,33.49,0
1,0.23,5.16,33.47,0
1,0.23,5.69,33.47,0
1,0.23,2.1,33.47,0
1,0.23,0.98,33.47,0
1,0.23,2.38,33.45,0
1,0.23,3.85,33.45,0
1,0.23,2.71,33.45,0
1,0.23,3.21,33.45,0
1,0.23,-3.08,33.45,0
1,0.23,2.32,33.45,0
1,0.23,1.79,33.45,0
1,0.23,-0.71,33.45,0
1,0.23,-2.07,33.43,0
1,0.23,2.28,33.43,0
1,0.23,-1.15,33.43,0
1,0.23,6.16,33.43,0
1,0.23,0.3,33.43,0
1,0.23,-3.57,33.43,0
1,0.23,4.85,33.43,0
1,0.23,-0.41,33.43,0
1,0.23,-2.35,33.41,0
1,0.23,6.72,33.41,0
